Codigo_Ciudad;Codigo_Distrito;Codigo_Barrio;Codigo_Seccion;Nombre_Ciudad;Nombre_Distrito;Nombre_Barrio;Codigo;X2022_persona;X2021_persona;X2020_persona;X2019_persona;X2018_persona;X2017_persona;X2016_persona;X2015_persona;X2022_hogar;X2021_hogar;X2020_hogar;X2019_hogar;X2018_hogar;X2017_hogar;X2016_hogar;X2015_hogar;X2022_consumo;X2021_consumo;X2020_consumo;X2019_consumo;X2018_consumo;X2017_consumo;X2016_consumo;X2015_consumo;X2022_bruta_persona;X2021_bruta_persona;X2020_bruta_persona;X2019_bruta_persona;X2018_bruta_persona;X2017_bruta_persona;X2016_bruta_persona;X2015_bruta_persona;X2022_bruta_hogar;X2021_bruta_hogar;X2020_bruta_hogar;X2019_bruta_hogar;X2018_bruta_hogar;X2017_bruta_hogar;X2016_bruta_hogar;X2015_bruta_hogar
46250;4;1;2;València;Distrito 04;Campanar;4625004002 València sección 04002;12035;11828;11479;10931;10173;9915;9454;9074;27944;27094;26552;25910;24552;23628;22510;21439;17428;16889;16456;15848;14668;14192;13485;13008;17150;15750;15400;15050;13650;12950;12250;12250;13999;13739;13208;12527;11709;11287;10719;10271
46250;4;1;3;València;Distrito 04;Campanar;4625004003 València sección 04003;15749;14720;14432;14056;13193;12913;12246;12401;40089;37056;36730;35877;33691;33079;31726;32527;23548;21928;21663;21036;20048;19319;18456;18663;21350;19950;19250;18550;17850;17850;17150;16450;19211;18063;17674;17104;16169;15530;14772;14855
46250;4;1;4;València;Distrito 04;Campanar;4625004004 València sección 04004;13752;13692;12272;12469;12143;11404;11094;10933;32415;32233;29203;29419;28089;26972;26626;25984;19773;20118;18031;18118;17570;16574;16129;15811;17850;17850;17150;17150;16450;15750;14700;14350;16310;16375;14389;14618;14173;13188;12844;12610
46250;4;1;5;València;Distrito 04;Campanar;4625004005 València sección 04005;19891;18481;18171;18169;18031;17238;16761;16204;49121;46586;45862;46028;46072;45497;44661;43057;29258;27250;26695;26635;26595;25661;24858;24047;28350;26950;25550;26250;24150;22750;21350;20650;24520;22900;22267;22289;22381;21420;20921;20132
46250;4;1;6;València;Distrito 04;Campanar;4625004006 València sección 04006;18165;16875;16563;16122;16191;15563;14917;14746;45316;43108;42464;42026;42120;40958;39887;39799;26795;24919;24649;24111;24002;22964;22272;21726;25550;23450;22750;22050;22050;20650;20650;19950;22428;20694;20282;19622;19879;18904;18240;17988
46250;4;2;7;València;Distrito 04;Les Tendetes;4625004007 València sección 04007;15830;15078;14563;13859;13483;13060;12521;12256;34831;33420;32959;32045;30966;29825;28965;28299;22340;21319;20611;19871;19268;18641;18008;17660;19250;18550;17850;17150;17150;16450;15750;15050;19275;18246;17485;16787;16125;15598;14956;14600
46250;4;2;8;València;Distrito 04;Les Tendetes;4625004008 València sección 04008;14953;14433;13023;13968;13249;13414;12653;12936;34998;33743;30194;33204;31383;31671;30020;30559;21561;20772;19437;20162;18881;19287;17943;18487;17850;16450;15050;15750;14350;15750;13650;16450;18268;17590;16156;16958;16017;16299;15275;15693
46250;4;2;9;València;Distrito 04;Les Tendetes;4625004009 València sección 04009;12496;11674;11208;11291;10740;9803;10041;10045;30335;28050;26799;27849;26301;24133;23985;23857;18380;17091;16314;16554;15417;13877;14156;14281;17150;15750;14350;14350;13650;12950;12250;11550;14618;13604;13116;13119;12454;11344;11633;11633
46250;4;2;10;València;Distrito 04;Les Tendetes;4625004010 València sección 04010;15658;15504;14604;14477;13366;12915;12607;12129;38953;38159;35907;36427;34219;32835;32481;31169;22972;22943;21260;21442;19867;19538;18966;18302;20650;19250;18550;19250;17850;17150;16450;15750;19147;18862;17545;17476;16111;15472;15085;14555
46250;4;2;11;València;Distrito 04;Les Tendetes;4625004011 València sección 04011;12245;11593;11399;11260;10653;10166;10230;10155;30008;28111;27022;27643;26257;25163;25531;25211;17595;16905;16366;16223;15388;14830;15025;14950;16450;15050;14350;13650;13650;13650;12950;12950;14426;13666;13306;13043;12511;11896;11945;11811
