Zona,2022_persona,2021_persona,2020_persona,2019_persona,2018_persona,2017_persona,2016_persona,2015_persona,2022_hogar,2021_hogar,2020_hogar,2019_hogar,2018_hogar,2017_hogar,2016_hogar,2015_hogar,2022_consumo,2021_consumo,2020_consumo,2019_consumo,2018_consumo,2017_consumo,2016_consumo,2015_consumo,2022_bruta_persona,2021_bruta_persona,2020_bruta_persona,2019_bruta_persona,2018_bruta_persona,2017_bruta_persona,2016_bruta_persona,2015_bruta_persona,2022_bruta_hogar,2021_bruta_hogar,2020_bruta_hogar,2019_bruta_hogar,2018_bruta_hogar,2017_bruta_hogar,2016_bruta_hogar,2015_bruta_hogar
4603201003 Almàssera sección 01003,14566,13424,12570,12351,11912,11319,10908,10460,37557,34763,32776,32730,31496,29568,29017,27569,22030,20219,19038,18900,18319,17263,16846,16001,19950,18550,17850,17150,16450,15750,15750,15050,17760,16223,15048,14774,14186,13438,12966,12395
4603201004 Almàssera sección 01004,12082,11528,10952,10539,9976,9748,9349,8926,29033,28123,26850,26211,25019,24287,23770,22541,17688,17128,16158,15709,14814,14472,14023,13301,17150,16450,15050,15050,13650,13650,12950,12250,14081,13289,12546,12052,11408,11131,10650,10125
46033 Almiserà,12204,11324,10761,10626,9949,9049,8857,8188,28876,26141,25445,25287,23652,21613,21497,20432,17732,16790,16155,15990,14847,13560,13421,12559,16450,15050,15050,14350,14350,12250,12250,11550,13932,12964,12213,11975,11100,10133,9966,9192
4603301 Almiserà distrito 01,12204,11324,10761,10626,9949,9049,8857,8188,28876,26141,25445,25287,23652,21613,21497,20432,17732,16790,16155,15990,14847,13560,13421,12559,16450,15050,15050,14350,14350,12250,12250,11550,13932,12964,12213,11975,11100,10133,9966,9192
4603301001 Almiserà sección 01001,12204,11324,10761,10626,9949,9049,8857,8188,28876,26141,25445,25287,23652,21613,21497,20432,17732,16790,16155,15990,14847,13560,13421,12559,16450,15050,15050,14350,14350,12250,12250,11550,13932,12964,12213,11975,11100,10133,9966,9192
46034 Almoines,12061,11431,10968,10922,10382,9941,9517,9314,31102,29265,28231,28161,26609,25540,24757,24192,18232,17338,16531,16512,15662,15200,14455,14211,17150,16450,15050,15050,14350,13650,12950,12950,14037,13403,12706,12609,11941,11396,10944,10718
4603401 Almoines distrito 01,12061,11431,10968,10922,10382,9941,9517,9314,31102,29265,28231,28161,26609,25540,24757,24192,18232,17338,16531,16512,15662,15200,14455,14211,17150,16450,15050,15050,14350,13650,12950,12950,14037,13403,12706,12609,11941,11396,10944,10718
4603401001 Almoines sección 01001,12061,11431,10968,10922,10382,9941,9517,9314,31102,29265,28231,28161,26609,25540,24757,24192,18232,17338,16531,16512,15662,15200,14455,14211,17150,16450,15050,15050,14350,13650,12950,12950,14037,13403,12706,12609,11941,11396,10944,10718
46035 Almussafes,14796,13871,13356,13410,12868,12269,11800,11755,38533,36372,35248,35408,34316,32785,31549,31378,22350,21134,20330,20481,19721,18707,18095,17924,20650,19250,19250,19250,18550,17850,17150,16450,17920,16820,16045,16204,15535,14738,14234,14055
4603501 Almussafes distrito 01,14796,13871,13356,13410,12868,12269,11800,11755,38533,36372,35248,35408,34316,32785,31549,31378,22350,21134,20330,20481,19721,18707,18095,17924,20650,19250,19250,19250,18550,17850,17150,16450,17920,16820,16045,16204,15535,14738,14234,14055
